place,reason,lat,lon,raw
Szgany,no_result,,,
Skinsky,no_result,,,
M.D,,18.4898458,-69.8033224,"Manzana D, Ciudad Real Oriental, Juan López, Santo Domingo Este, Santo Domingo, 03006, República Dominicana"
Ste,,13.0368003,80.2464194,"தேனாம்பேட்டை, Teynampet - Saidapet steel flyover, CMWSSB Division 122, Ward 122, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600035, India"
Klausenburgh,no_result,,,
the Golden Krone Hotel,no_result,,,
leiterwagon,no_result,,,
Cszeks,no_result,,,
ark,,35.2048883,-92.4479108,"Arkansas, United States"
n’t,,37.9456724,23.7139908,"N&T, Ομήρου, Νέα Σμύρνη, Δήμος Νέας Σμύρνης, Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 171 21, Ελλάς"
the Gulf of Finland,no_result,,,
the grey sea,no_result,,,
the Angel of Death,no_result,,,
R.A,,-3.0557909,-60.0544946,"Condomínio Residencial Bordeaux, Planalto, Manaus, Região Geográfica Imediata de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil"
R.I,,41.7962409,-71.5992372,"Rhode Island, United States"
Straits of Dover,no_result,,,
August._--No,error:Non-successful status code 503,,,
D.Ph,error:Non-successful status code 503,,,
Jamrach,no_result,,,
the Park a-’idin,no_result,,,
Zoo,,52.3855297,9.7729005,"Zoo, Mitte, Hannover, Region Hannover, Niedersachsen, 30175, Deutschland"
L.K.Q.CP.I,no_result,,,
Lake Hermanstadt,no_result,,,
the Eversfield Asylum,no_result,,,
Zwitzerland,no_result,,,
Walworth and Mile End,no_result,,,
the Sacred Wafer,no_result,,,
Fenchurch Street Lord Godalming,no_result,,,
Borgo,error:Non-successful status code 503,,,
Fundu,error:Non-successful status code 503,,,
