place,count
London,64
Carfax,24
Varna,19
Transylvania,14
Szgany,13
Amsterdam,13
Slovaks,11
England,11
Bukovina,8
the Borgo Pass,8
Hillingham,8
Skinsky,8
Abbey,7
the East Cliff,7
Turkey,6
Piccadilly,6
the Black Sea,6
Dardanelles,5
M.D,5
Mina,4
Seward,4
Vampire,4
Magyar,3
Slovak,3
Greenland,3
Ste,3
Renfield,3
the Green Park,3
Madam Mina,3
Castle,3
Veresti,3
the United States,2
Klausenburgh,2
Europe,2
Attila,2
China,2
France,2
Germany,2
Texas,2
the East Pier,2
Tate Hill Pier,2
Scotland,2
Purfleet,2
America,2
Paddington,2
India,2
Bloxam,2
Hildesheim,2
Vienna,1
the Hotel Royale,1
Moldavia,1
the Golden Krone Hotel,1
St. George’s Day,1
Borgo Prund,1
leiterwagon,1
Cszeks,1
Tokay,1
china,1
Iceland,1
Asia,1
Africa,1
Scythia,1
Bulgar,1
Honfoglalas,1
Newcastle,1
Dover,1
Hungary,1
ark,1
Bistritz,1
Chatham Street,1
n’t,1
Desdemona,1
wasn’t,1
Marquesas,1
Titicaca,1
Korea,1
Nuremberg,1
York,1
Leeds,1
the Gulf of Finland,1
the grey sea,1
the Angel of Death,1
East Cliff,1
R.A,1
R.I,1
the West Cliff,1
S.P.C.A,1
East wind,1
Archipelago,1
Gibraltar,1
Straits,1
the Bay of,1
Biscay,1
Straits of Dover,1
North Foreland,1
the North Sea,1
Mackenzie,1
the West Pier,1
August._--No,1
Great Northern Railway,1
the West Lighthouse,1
Morpheus,1
Hamburg,1
Wilhelmina,1
coma,1
D.Ph,1
the Great Eastern Hotel,1
Holmwood,1
Dame Nature,1
Floridas,1
Ophelia,1
Superintendent,1
Norway,1
Jamrach,1
the Park a-’idin,1
Zoo,1
Antwerp,1
M.R.C.S,1
L.K.Q.CP.I,1
Hyde Park Corner,1
the Shooter’s Hill,1
Later._--He,1
Holland,1
the North Hospital,1
Straightway,1
Eastern Europe,1
the Berkeley Hotel,1
Underground,1
Fenchurch Street,1
Jerusalem,1
Greece,1
Rome,1
Lake Hermanstadt,1
Van Helsing,1
Chicksand Street,1
Jamaica Lane,1
Bartel Street,1
Cross Angel Street,1
Berkeley,1
Sackville Street,1
Malvolio,1
the Eversfield Asylum,1
Zwitzerland,1
Walworth and Mile End,1
Breakfast,1
the Sacred Wafer,1
Fenchurch Street Lord Godalming,1
Arlington Street,1
Death,1
the hall:--,1
Port of London,1
Black-Sea,1
Frenchmen,1
Paris,1
Kúkri,1
Bucharest,1
the Great River,1
Galatz,1
Consul,1
Hapgood,1
St. Peter,1
Borgo,1
Fundu,1
Rapids,1
