place,chapter,count
Abbey,6,2
Abbey,7,1
Abbey,8,4
Africa,3,1
America,13,1
America,15,1
Amsterdam,9,5
Amsterdam,10,2
Amsterdam,11,1
Amsterdam,13,1
Amsterdam,14,1
Amsterdam,15,1
Amsterdam,16,2
Antwerp,11,1
Archipelago,7,1
Arlington Street,22,1
Asia,3,1
Attila,1,1
Attila,3,1
August._--No,8,1
Bartel Street,20,1
Berkeley,20,1
Biscay,7,1
Bistritz,4,1
Black-Sea,24,1
Bloxam,20,2
Borgo,26,1
Borgo Prund,1,1
Breakfast,22,1
Bucharest,25,1
Bukovina,1,6
Bukovina,4,1
Bukovina,27,1
Bulgar,3,1
Carfax,2,1
Carfax,8,2
Carfax,11,2
Carfax,17,3
Carfax,18,2
Carfax,20,5
Carfax,21,1
Carfax,22,4
Carfax,23,3
Carfax,27,1
Castle,24,1
Castle,26,2
Chatham Street,5,1
Chicksand Street,20,1
China,1,1
China,18,1
Consul,26,1
Cross Angel Street,20,1
Cszeks,1,1
D.Ph,9,1
Dame Nature,10,1
Dardanelles,7,1
Dardanelles,25,3
Dardanelles,26,1
Death,23,1
Desdemona,5,1
Dover,3,1
East Cliff,7,1
East wind,7,1
Eastern Europe,16,1
England,2,5
England,3,1
England,4,1
England,7,1
England,24,1
England,26,2
Europe,1,1
Europe,3,1
Fenchurch Street,17,1
Fenchurch Street Lord Godalming,22,1
Floridas,10,1
France,1,1
France,18,1
Frenchmen,24,1
Fundu,26,1
Galatz,26,1
Germany,1,1
Germany,18,1
Gibraltar,7,1
Great Northern Railway,8,1
Greece,18,1
Greenland,6,3
Hamburg,9,1
Hapgood,26,1
Hildesheim,26,2
Hillingham,9,3
Hillingham,10,3
Hillingham,11,1
Hillingham,12,1
Holland,14,1
Holmwood,9,1
Honfoglalas,3,1
Hungary,4,1
Hyde Park Corner,13,1
Iceland,3,1
India,18,1
India,24,1
Jamaica Lane,20,1
Jamrach,11,1
Jerusalem,17,1
Klausenburgh,1,1
Klausenburgh,8,1
Korea,5,1
Kúkri,25,1
L.K.Q.CP.I,12,1
Lake Hermanstadt,18,1
Later._--He,14,1
Leeds,6,1
London,1,3
London,2,8
London,3,5
London,4,1
London,8,3
London,9,5
London,11,2
London,12,1
London,13,3
London,14,6
London,15,1
London,17,3
London,19,1
London,20,3
London,22,2
London,23,1
London,24,1
London,25,6
London,26,8
London,27,1
M.D,9,1
M.D,12,2
M.D,15,1
M.D,27,1
M.R.C.S,12,1
Mackenzie,8,1
Madam Mina,17,1
Madam Mina,18,1
Madam Mina,27,1
Magyar,3,2
Magyar,18,1
Malvolio,20,1
Marquesas,5,1
Mina,3,1
Mina,5,1
Mina,22,1
Mina,26,1
Moldavia,1,1
Morpheus,8,1
Newcastle,3,1
North Foreland,7,1
Norway,11,1
Nuremberg,6,1
Ophelia,11,1
Paddington,14,1
Paddington,17,1
Paris,25,1
Piccadilly,20,3
Piccadilly,22,3
Port of London,23,1
Purfleet,8,1
Purfleet,27,1
R.A,7,1
R.I,7,1
Rapids,26,1
Renfield,8,1
Renfield,18,1
Renfield,20,1
Rome,18,1
S.P.C.A,7,1
Sackville Street,20,1
Scotland,8,1
Scotland,15,1
Scythia,3,1
Seward,9,3
Seward,11,1
Skinsky,26,8
Slovak,4,1
Slovak,26,2
Slovaks,1,2
Slovaks,4,4
Slovaks,26,5
St. George’s Day,1,1
St. Peter,26,1
Ste,8,3
Straightway,15,1
Straits,7,1
Straits of Dover,7,1
Superintendent,11,1
Szgany,4,9
Szgany,26,1
Szgany,27,3
Tate Hill Pier,7,2
Texas,5,1
Texas,18,1
Titicaca,5,1
Tokay,2,1
Transylvania,1,3
Transylvania,2,2
Transylvania,4,1
Transylvania,5,1
Transylvania,14,1
Transylvania,17,1
Transylvania,19,1
Transylvania,22,1
Transylvania,24,2
Transylvania,27,1
Turkey,3,2
Turkey,18,1
Turkey,24,1
Turkey,25,2
Underground,17,1
Vampire,21,1
Vampire,23,2
Vampire,27,1
Van Helsing,18,1
Varna,3,1
Varna,7,1
Varna,17,1
Varna,24,7
Varna,25,5
Varna,26,4
Veresti,26,2
Veresti,27,1
Vienna,1,1
Walworth and Mile End,22,1
Wilhelmina,9,1
York,6,1
Zoo,11,1
Zwitzerland,22,1
ark,4,1
china,2,1
coma,9,1
leiterwagon,1,1
n’t,5,1
the Angel of Death,6,1
the Bay of,7,1
the Berkeley Hotel,17,1
the Black Sea,24,3
the Black Sea,25,1
the Black Sea,26,2
the Borgo Pass,1,2
the Borgo Pass,4,1
the Borgo Pass,26,3
the Borgo Pass,27,2
the East Cliff,7,3
the East Cliff,8,3
the East Cliff,9,1
the East Pier,7,2
the Eversfield Asylum,21,1
the Golden Krone Hotel,1,1
the Great Eastern Hotel,9,1
the Great River,25,1
the Green Park,13,1
the Green Park,22,2
the Gulf of Finland,6,1
the Hotel Royale,1,1
the North Hospital,15,1
the North Sea,7,1
the Park a-’idin,11,1
the Sacred Wafer,22,1
the Shooter’s Hill,13,1
the United States,0,2
the West Cliff,7,1
the West Lighthouse,8,1
the West Pier,8,1
the grey sea,6,1
the hall:--,23,1
wasn’t,5,1
