chapter,marker,vader_compound
0,PREFACE,0.8793
1,CHAPTER 01,0.9954
2,CHAPTER 02,0.9999
3,CHAPTER 03,0.9998
4,CHAPTER 04,-0.9989
5,CHAPTER 05,1.0
6,CHAPTER 06,0.9991
7,CHAPTER 07,-0.9998
8,CHAPTER 08,0.9998
9,CHAPTER 09,0.9999
10,CHAPTER 10,0.9998
11,CHAPTER 11,0.9991
12,CHAPTER 12,-0.9682
13,CHAPTER 13,0.9921
14,CHAPTER 14,0.9999
15,CHAPTER 15,-0.9971
16,CHAPTER 16,0.9972
17,CHAPTER 17,0.9999
18,CHAPTER 18,0.9999
19,CHAPTER 19,0.968
20,CHAPTER 20,0.9995
21,CHAPTER 21,-0.9994
22,CHAPTER 22,0.9943
23,CHAPTER 23,0.9966
24,CHAPTER 24,0.9999
25,CHAPTER 25,0.9998
26,CHAPTER 26,0.9991
27,CHAPTER 27,0.9758
