place,query,lat,lon,reason
Szgany,Szgany,,,no_match
Skinsky,Skinsky,,,no_match
Klausenburgh,Klausenburgh,,,no_match
the Golden Krone Hotel,the Golden Krone Hotel,,,no_match
leiterwagon,leiterwagon,,,no_match
Cszeks,Cszeks,,,no_match
the Gulf of Finland,the Gulf of Finland,,,no_match
the grey sea,the grey sea,,,no_match
the Angel of Death,the Angel of Death,,,no_match
Straits of Dover,Straits of Dover,,,no_match
August._--No,August._--No,,,error:Non-successful status code 503
D.Ph,D.Ph,,,error:Non-successful status code 503
Jamrach,Jamrach,,,no_match
the Park a-’idin,the Park a-’idin,,,no_match
L.K.Q.CP.I.,L.K.Q.CP.I.,,,no_match
Lake Hermanstadt,Lake Hermanstadt,,,no_match
the Eversfield Asylum,the Eversfield Asylum,,,no_match
Zwitzerland,Zwitzerland,,,no_match
Walworth and Mile End,Walworth and Mile End,,,no_match
the Sacred Wafer,the Sacred Wafer,,,no_match
Fenchurch Street Lord Godalming,Fenchurch Street Lord Godalming,,,no_match
